qnum,orig_label,question,prompt,response,total,dem,ind,rep
1,1A,Favorability of Forms of Government — Democracy,Do you have a favorable or an unfavorable opinion of the following system of government?,Very favorable,56,72,47,49
1,1A,Favorability of Forms of Government — Democracy,Do you have a favorable or an unfavorable opinion of the following system of government?,Somewhat favorable,24,21,25,27
1,1A,Favorability of Forms of Government — Democracy,Do you have a favorable or an unfavorable opinion of the following system of government?,Somewhat unfavorable,8,2,12,10
1,1A,Favorability of Forms of Government — Democracy,Do you have a favorable or an unfavorable opinion of the following system of government?,Very unfavorable,5,2,5,8
1,1A,Favorability of Forms of Government — Democracy,Do you have a favorable or an unfavorable opinion of the following system of government?,Don’t know,7,3,12,5
1,1A,Favorability of Forms of Government — Democracy,Do you have a favorable or an unfavorable opinion of the following system of government?,Totals,100,100,101,99
2,1B,Favorability of Forms of Government — Democratic republic,Do you have a favorable or an unfavorable opinion of the following system of government?,Very favorable,41,43,36,44
2,1B,Favorability of Forms of Government — Democratic republic,Do you have a favorable or an unfavorable opinion of the following system of government?,Somewhat favorable,29,33,31,21
2,1B,Favorability of Forms of Government — Democratic republic,Do you have a favorable or an unfavorable opinion of the following system of government?,Somewhat unfavorable,8,7,10,6
2,1B,Favorability of Forms of Government — Democratic republic,Do you have a favorable or an unfavorable opinion of the following system of government?,Very unfavorable,9,5,5,17
2,1B,Favorability of Forms of Government — Democratic republic,Do you have a favorable or an unfavorable opinion of the following system of government?,Don’t know,14,12,18,12
2,1B,Favorability of Forms of Government — Democratic republic,Do you have a favorable or an unfavorable opinion of the following system of government?,Totals,101,100,100,100
3,1C,Favorability of Forms of Government — Federalism,Do you have a favorable or an unfavorable opinion of the following system of government?,Very favorable,10,8,8,14
3,1C,Favorability of Forms of Government — Federalism,Do you have a favorable or an unfavorable opinion of the following system of government?,Somewhat favorable,22,27,19,18
3,1C,Favorability of Forms of Government — Federalism,Do you have a favorable or an unfavorable opinion of the following system of government?,Somewhat unfavorable,17,14,17,19
3,1C,Favorability of Forms of Government — Federalism,Do you have a favorable or an unfavorable opinion of the following system of government?,Very unfavorable,18,20,14,22
3,1C,Favorability of Forms of Government — Federalism,Do you have a favorable or an unfavorable opinion of the following system of government?,Don’t know,34,32,41,27
3,1C,Favorability of Forms of Government — Federalism,Do you have a favorable or an unfavorable opinion of the following system of government?,Totals,101,101,99,100
4,1D,Favorability of Forms of Government — Socialism,Do you have a favorable or an unfavorable opinion of the following system of government?,Very favorable,6,9,6,2
4,1D,Favorability of Forms of Government — Socialism,Do you have a favorable or an unfavorable opinion of the following system of government?,Somewhat favorable,21,38,17,8
4,1D,Favorability of Forms of Government — Socialism,Do you have a favorable or an unfavorable opinion of the following system of government?,Somewhat unfavorable,19,21,23,10
4,1D,Favorability of Forms of Government — Socialism,Do you have a favorable or an unfavorable opinion of the following system of government?,Very unfavorable,41,16,39,71
4,1D,Favorability of Forms of Government — Socialism,Do you have a favorable or an unfavorable opinion of the following system of government?,Don’t know,14,15,15,10
4,1D,Favorability of Forms of Government — Socialism,Do you have a favorable or an unfavorable opinion of the following system of government?,Totals,101,99,100,101
5,1E,Favorability of Forms of Government — Constitutional monarchy,Do you have a favorable or an unfavorable opinion of the following system of government?,Very favorable,3,4,2,2
5,1E,Favorability of Forms of Government — Constitutional monarchy,Do you have a favorable or an unfavorable opinion of the following system of government?,Somewhat favorable,15,18,11,17
5,1E,Favorability of Forms of Government — Constitutional monarchy,Do you have a favorable or an unfavorable opinion of the following system of government?,Somewhat unfavorable,22,20,22,24
5,1E,Favorability of Forms of Government — Constitutional monarchy,Do you have a favorable or an unfavorable opinion of the following system of government?,Very unfavorable,34,37,31,34
5,1E,Favorability of Forms of Government — Constitutional monarchy,Do you have a favorable or an unfavorable opinion of the following system of government?,Don’t know,26,21,34,23
